SOC,V,I,T
54.90197754,356,-2.581579077,10
54.90197754,356,-3.094737016,10
54.90197754,356,-3.300000191,10
54.90197754,355.925,-3.030000162,10
54.90197754,355.95,-2.580000114,10
54.90197754,355.9318182,-2.400000095,9.727272727
54.90197754,355.7137097,-4.625806654,9.580645161
54.90197754,355.391129,-9.077419772,9.741935484
54.90197754,355.0685484,-13.52903289,9.903225806
54.90197754,354.875,-15.54000053,10
54.90197754,354.375,-21.21000042,10
54.90197754,353.3068182,-35.29090985,10
54.90197754,352.4125,-45.82500076,10
54.90197754,351.5125,-55.18500099,10
54.90197754,350.7727273,-64.58181971,10
54.90197754,349.625,-78.42000122,10
54.90197754,350.3068182,-67.82727328,10
54.90197754,351.125,-55.74000282,10
54.90197754,351.0125,-56.56500129,10
54.90197754,349.9431818,-69.49091478,10
54.90197754,349.375,-75.90000153,10
54.90197754,349.5,-72.45000458,10
54.90197754,350.0681818,-64.95000458,10
54.90197754,350.0125,-64.87500458,10
54.90197754,350.675,-54.28500252,10
54.90197754,350.6477273,-54.20454649,10
54.90197754,350.725,-52.41000138,10
54.90197754,351.2045455,-46.22727481,10
54.90197754,352.3375,-30.45000095,10
54.90197754,354.4125,-4.754999947,10
54.90197754,355.0375,3.855000138,10
54.90197754,355,1.418181853,10
54.90197754,355.525,6.75,10
54.90197754,355.3295455,3.477272727,10
54.90197754,354.8125,-3.600000143,10
54.90197754,355.125,1.424999953,10
54.90197754,355.5568182,6.913636685,10
54.90197754,355.425,3.990000284,10
54.90197754,354.7613636,-4.731818531,10
54.90197754,353.9375,-15.13500089,10
54.90197754,353.2375,-24.16500053,10
54.90197754,351.7727273,-43.05000166,10
54.90197754,349.075,-77.2200058,10
54.90197754,347.1704545,-100.5545495,10
54.90197754,346.25,-108.9000015,10
54.90197754,346.25,-108.9000015,10
54.90197754,349.2386364,-68.80909382,10
54.90197754,347.875,-86.40000153,10
54.90197754,349.375,-64.20000458,10
54.90197754,351.1931818,-41.97272769,10
54.90197754,351.0375,-44.07000275,10
54.90197754,351,-43.33500099,10
54.90197754,351,-43.20000076,10
54.90197754,351.3,-38.64000015,10
54.90197754,351.375,-38.04545455,10
54.90197754,353.65,-7.8,10
54.90197754,354.7125,4.620000267,10
54.90197754,354.75,4.254545775,10
54.90197754,354.75,3.570000171,10
54.90197754,355.3636364,11.25000004,10
54.90197754,356.3125,22.42500019,10
54.90197754,356.4090909,22.82727293,10
54.90197754,355.85,15.12000008,10
54.90197754,355.125,4.527272744,10
54.90197754,353.9875,-9.6900002,10
54.90197754,353.3,-18.19500046,10
54.90197754,353.0875,-20.40000153,9.85
54.90197754,352.9758065,-20.89354995,9.5
54.90197754,352.8951613,-22.53871137,9.5
54.90197754,352.8145161,-24.18387278,9.5
54.90197754,352.675,-26.01000176,9.5
54.90197754,352.5,-26.55000114,9.5
54.90197754,352.9772727,-20.44091016,9.5
54.90197754,352.8875,-20.0100008,9.5
54.90197754,352.9875,-20.59500103,9.5
54.90197754,352.7045455,-23.29090916,9.5
54.90197754,351,-46.20000076,9.5
54.90197754,350.625,-49.35000229,9.5
54.90197754,349.2613636,-67.07727848,9.5
54.90197754,348,-82.48500061,9.5
54.90197754,348.2125,-78.46500549,9.5
54.90197754,348.1477273,-79.44545815,9.5
54.90197754,348.225,-75.12000427,9.5
54.90197754,349.5227273,-58.13181998,9.5
54.90197754,351.3125,-34.98000049,9.5
54.90197754,351.525,-33.48000011,9.5
54.90197754,353.2045455,-11.75454536,9.5
54.90197754,354.7,6.3300004,9.5
54.90197754,354.7954545,7.268182234,9.5
54.90197754,354.75,6.750000239,9.5
54.90197754,354.75,5.850000143,9.5
54.90197754,354.625,3.695454619,9.5
54.90197754,354.3522727,0.013636394,9.5
54.90197754,353.6875,-8.610000228,9.5
54.90197754,353.1375,-16.09500065,9.5
54.90197754,352.875,-19.51363685,9.5
54.90197754,352.8522727,-19.95000076,9.5
54.90197754,352.745098,-20.01176546,9.5
54.90197754,352.6960784,-20.62941244,9.5
54.90197754,352.6470588,-21.24705943,9.5
54.90197754,352.5980392,-21.86470641,9.5
54.90197754,352.5490196,-22.4823534,9.5
54.90197754,352.5,-23.10000038,9.5
54.90197754,351.375,-36.30000305,9.5
54.90197754,349.625,-60.15000153,9.5
54.90197754,348.8295455,-69.55909105,9.5
54.90197754,348.075,-77.52000274,9.5
54.90197754,347.1,-90.45000305,9.5
54.90197754,346.2840909,-99.40909645,9.5
54.90197754,347.325,-86.34000244,9.5
54.90197754,347.4431818,-82.86818557,9.5
54.90197754,347.725,-76.96500244,9.5
54.90197754,347.875,-75.24000473,9.5
54.90197754,348.6704545,-64.62273095,9.5
54.90197754,348.975,-60.15000229,9.5
54.90197754,349.4204545,-53.16818411,9.5
54.90197754,350.3125,-41.55000115,9.5
54.90197754,352.5625,-12.82499981,9.5
54.90197754,353.9772727,5.236363811,9.5
54.90197754,352.9,-9.660000347,9.5
54.90197754,351.7727273,-24.50454608,9.5
54.90197754,351.3375,-30.39000073,9.5
54.90197754,352.15,-19.72500096,9.5
54.90197754,354.25,7.363636667,9.5
54.90197754,354.175,4.440000081,9.5
54.90197754,353.8522727,0.272727284,9.5
54.90197754,353.8125,-0.390000034,9.5
54.90197754,354.3863636,6.968181913,9.5
54.90197754,354.5,7.650000095,9.5
54.90197754,353.75,-2.400000095,9.5
54.90197754,353.8636364,-0.763636394,9.5
54.90197754,353.425,-6.810000432,9.5
54.60786152,352.90625,-14.1375004,9.5
54.50982285,352.75,-15.81428609,9.5
54.50982285,352.8611111,-15.06666755,9.5
54.50982285,352.5731707,-18.45731823,9.5
54.50982285,352.2378049,-22.29878188,9.5
54.50982285,351.902439,-26.14024553,9.5
54.50982285,351.5670732,-29.98170918,9.5
54.50982285,350.8,-40.59000282,9.5
54.50982285,349.825,-52.53000183,9.5
54.50982285,348.5340909,-68.86364122,9.5
54.50982285,347.5125,-81.87000504,9.5
54.50982285,346.8125,-89.82000351,9.5
54.50982285,347.0227273,-85.3090959,9.5
54.50982285,347.7,-75.84000244,9.5
54.50982285,349.0909091,-57.27272727,9.5
54.50982285,351.3125,-27.60000038,9.5
54.50982285,352.625,-11.10000038,9.5
54.50982285,351.9431818,-20.79545472,9.5
54.50982285,351.825,-21.81000042,9.5
54.50982285,352.875,-7.500000477,9.5
54.50982285,351.925,-20.10000076,9.5
54.50982285,352.7,-11.3850007,9.5
54.50982285,353.1477273,-6.55909122,9.5
54.50982285,353.875,4.140000343,9.5
54.50982285,353.8068182,2.345454693,9.5
54.50982285,353.525,-1.770000044,9.5
54.50982285,353.7386364,-0.272727278,9.5
54.50982285,353.625,-1.5,9.5
54.50982285,353.5,-3.600000143,9.5
54.50982285,352.25,-19.82727343,9.5
54.50982285,352.890625,-10.16250026,9.5
54.50982285,353.225,-6.795000362,9.5
54.50982285,353.4545455,-4.75909129,9.5
54.50982285,353.4,-5.670000076,9.5
54.50982285,353.0113636,-10.9090916,9.5
54.50982285,352.9625,-11.07000055,9.5
54.50982285,352.9125,-10.45500011,9.5
54.50982285,352.805,-11.59200016,9.5
54.50982285,352.705,-13.15200039,9.5
54.50982285,352.605,-14.71200062,9.5
54.50982285,352.505,-16.27200084,9.5
54.50982285,352.405,-17.83200107,9.5
54.50982285,352.375,-18.30000114,9.5
54.50982285,352.375,-18.30000114,9.5
54.50982285,352.375,-18.30000114,9.5
54.50982285,352.375,-18.30000114,9.5
54.50982285,352.375,-18.30000114,9.5
54.50982285,351.075,-36.69000168,9
54.50982285,349.875,-51.5100029,9
54.50982285,348.6931818,-66.34091082,9
54.50982285,347.375,-81.82500077,9
54.50982285,346.375,-93.00000382,9
54.50982285,346.4659091,-90.73636974,9
54.50982285,347.425,-77.64000549,9
54.50982285,348.1136364,-68.50909493,9
54.50982285,348.55,-61.53000259,9
54.50982285,350.125,-39.90000153,9
54.50982285,349.6136364,-48.80454913,9
54.50982285,349.9875,-43.90500297,9
54.50982285,348.7625,-57.94500237,9
54.50982285,348.9125,-53.94000282,9
54.50982285,349.2727273,-50.48181915,9
54.50982285,349.5,-48.30000305,9
54.50982285,351.25,-24.60000038,9
54.50982285,349.4318182,-49.28182168,9
54.50982285,348.6875,-58.63500176,9
54.50982285,349.8625,-41.85000153,9
54.50982285,350.2916667,-36.16666879,9
54.50982285,351.875,-16.62000046,9
54.50982285,350.5227273,-34.90909091,9
54.50982285,349.7875,-43.9200016,9
54.50982285,350.0125,-40.00500069,9
54.50982285,350.9204545,-28.89545527,9
54.50982285,351.6,-19.68000068,9
54.50982285,351.75,-17.10000038,9
54.50982285,351.75,-16.87500096,9
54.50982285,351.75,-16.65000153,9
54.11766434,351.9821429,-13.88571549,9
54.11766434,354.325,17.16000061,9
54.11766434,354.625,18.27272779,9
54.11766434,354.625,17.34000053,9
54.11766434,354.775,17.58000011,9
54.11766434,355.2272727,21.77727352,9
54.11766434,355.75,29.40000153,9
54.11766434,356.2272727,34.80000002,9
